date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:41	633/633	---MCZ	200	added ('OK')	text/plain	date:Sat,%2015%20Nov%202025%2004:13:43%20GMT	https://demo.themerec.com/robots.txt		(from )
23:13:43	172983/172983	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Nov%202025%2004:13:43%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/index.html	(from )
23:13:43	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2015%20Nov%202025%2004:13:44%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/xmlrpc.php	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/xmlrpc.php	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:43	2947/2947	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202025%2013:13:30%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.3	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/contact-form-7/includes/css/styles6fb3.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:43	19727/19727	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Mar%202025%2022:28:12%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=10.3.5	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutd3a6.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:44	7527/7527	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202025%2017:17:20%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=10.3.5	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreend3a6.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:44	86378/86378	---MCZ	200	added ('OK')	text/css	date:Mon,%2001%20Sep%202025%2023:44:48%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=10.3.5	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/woocommerced3a6.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:44	2279/2279	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202024%2020:44:04%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/brands.css?ver=10.3.5	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/plugins/woocommerce/assets/css/brandsd3a6.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:44	232855/232855	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Jul%202023%2012:58:44%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/themes/thepro/assets/css/lib/bootstrap.min.css?ver=5.3.1	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/themes/thepro/assets/css/lib/bootstrap.min7923.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
23:13:45	74185/74185	---MCZ	200	added ('OK')	text/css	date:Tue,%2002%20Sep%202025%2016:53:46%20GMT	https://demo.themerec.com/item/wordpress/thepro-dark/wp-content/themes/thepro/assets/css/lib/fontawesome.min.css?ver=7.0.0	C:/Users/jair1/Downloads/MiSitioWeb/Paola%20G./demo.themerec.com/item/wordpress/thepro-dark/wp-content/themes/thepro/assets/css/lib/fontawesome.min823d.css	(from https://demo.themerec.com/item/wordpress/thepro-dark/)
